name,state_code
PPD BATU PAHAT,1
PPD JOHOR BAHRU,1
PPD KLUANG,1
PPD KOTA TINGGI,1
PPD KULAI,1
PPD MERSING,1
PPD MUAR,1
PPD PASIR GUDANG,1
PPD PONTIAN,1
PPD SEGAMAT,1
PPD TANGKAK,1
PPD BALING,2
PPD KOTA SETAR,2
PPD KUALA MUDA,2
PPD KUBANG PASU,2
PPD KULIM/BANDAR BAHARU,2
PPD LANGKAWI,2
PPD PADANG TERAP,2
PPD PENDANG,2
PPD SIK,2
PPD YAN,2
PPD BACHOK,3
PPD GUA MUSANG,3
PPD JELI,3
PPD KOTA BHARU,3
PPD KUALA KRAI,3
PPD MACHANG,3
PPD PASIR MAS,3
PPD PASIR PUTIH,3
PPD TANAH MERAH,3
PPD TUMPAT,3
PPD ALOR GAJAH,4
PPD JASIN,4
PPD MELAKA TENGAH,4
PPD JEMPOL/JELEBU,5
PPD KUALA PILAH,5
PPD PORT DICKSON,5
PPD REMBAU,5
PPD SEREMBAN,5
PPD TAMPIN,5
PPD BENTONG,6
PPD BERA,6
PPD CAMERON HIGHLANDS,6
PPD JERANTUT,6
PPD KUANTAN,6
PPD LIPIS,6
PPD MARAN,6
PPD PEKAN,6
PPD RAUB,6
PPD ROMPIN,6
PPD TEMERLOH,6
PPD BAGAN DATUK,8
PPD BATANG PADANG,8
PPD HILIR PERAK,8
PPD HULU PERAK,8
PPD KERIAN,8
PPD KINTA SELATAN,8
PPD KINTA UTARA,8
PPD KUALA KANGSAR,8
PPD LARUT/MATANG/SELAMA,8
PPD MANJUNG,8
PPD MUALLIM,8
PPD PERAK TENGAH,8
JPN PERLIS,9
PPD BARAT DAYA,7
PPD SEBERANG PERAI UTARA,7
PPD SEBERANG PRAI SELATAN,7
PPD SEBERANG PRAI TENGAH,7
PPD TIMUR LAUT,7
PPD BEAUFORT,12
PPD BELURAN,12
PPD KENINGAU,12
PPD KINABATANGAN,12
PPD KOTA BELUD,12
PPD KOTA KINABALU,12
PPD KOTA MARUDU,12
PPD KUALA PENYU,12
PPD KUDAT,12
PPD KUNAK,12
PPD LAHAD DATU,12
PPD PAPAR,12
PPD PENAMPANG,12
PPD PENSIANGAN,12
PPD PITAS,12
PPD RANAU,12
PPD SANDAKAN,12
PPD SEMPORNA,12
PPD SIPITANG,12
PPD TAMBUNAN,12
PPD TAWAU,12
PPD TELUPID/TONGOD,12
PPD TENOM,12
PPD TUARAN,12
PPD BARAM,13
PPD BAU,13
PPD BELAGA,13
PPD BETONG,13
PPD BINTULU,13
PPD DALAT,13
PPD DARO,13
PPD JULAU,13
PPD KANOWIT,13
PPD KAPIT,13
PPD KUCHING,13
PPD LAWAS,13
PPD LIMBANG,13
PPD LUBOK ANTU,13
PPD LUNDU,13
PPD MERADONG,13
PPD MIRI,13
PPD MUKAH,13
PPD PADAWAN,13
PPD SAMARAHAN,13
PPD SARATOK,13
PPD SARIKEI,13
PPD SELANGAU,13
PPD SERIAN,13
PPD SIBU,13
PPD SIMUNJAN,13
PPD SONG,13
PPD SRI AMAN,13
PPD SUBIS,13
PPD TATAU/SEBAUH,13
PPD GOMBAK,10
PPD HULU LANGAT,10
PPD HULU SELANGOR,10
PPD KLANG,10
PPD KUALA LANGAT,10
PPD KUALA SELANGOR,10
PPD PETALING PERDANA,10
PPD PETALING UTAMA,10
PPD SABAK BERNAM,10
PPD SEPANG,10
PPD BESUT,11
PPD DUNGUN,11
PPD HULU TERENGGANU,11
PPD KEMAMAN,11
PPD KUALA NERUS,11
PPD KUALA TERENGGANU,11
PPD MARANG,11
PPD SETIU,11
PPW BANGSAR PUDU,14
PPW KERAMAT,14
PPW SENTUL,14
JPWP LABUAN,15
JPWP PUTRAJAYA,16
